Species,Length,N,C,DW
Acartia Insuensis,6.156565107,0.179823108,0.971686827,1.527459563
Acartia Insuensis,6.411318177,0.247108004,0.971686827,2.552463467
Acartia Insuensis,6.446027641,0.315553091,1.210858453,2.713350771
Acartia Insuensis,6.952808342,0.296842467,1.240829015,2.814710835
Acartia Insuensis,6.971571657,0.275848321,1.368315323,2.490812132
Acartia Insuensis,6.877907502,0.250147458,1.084700515,2.314649757
Acartia Insuensis,6.925324264,0.256338983,1.02038353,2.124811048
Acartia Insuensis,7.83067062,0.398060224,1.60400917,3.142080564
Acartia Insuensis,8.724362032,0.393223534,1.623738649,4.213471558
Acartia Insuensis,8.795474182,0.347973915,1.402183179,3.683307461
O. Brevicornis,3.296900329,0.081304084,0.40433522,0.813040837
O. Brevicornis,3.280062211,0.096193575,0.364584124,0.687192881
O. Brevicornis,3.51344995,0.086736571,0.355272668,0.696140065
O. Brevicornis,3.876974419,0.082362655,0.300281163,0.762118444
O. Brevicornis,3.937075628,0.097446006,0.425807673,0.913427657
O. Brevicornis,3.945194031,0.10130199,0.388944505,1.039570466
O. Brevicornis,4.448337072,0.115291623,0.442657081,1.214142504
O. Brevicornis,4.475671749,0.110903134,0.460173228,0.937367976
Calanus Sinicus,11.10404288,3.032780608,8.939415506,20.38349131
Calanus Sinicus,12.17128818,4.138215297,20.38349131,52.48838202
Calanus Sinicus,12.49914485,4.082674254,19.05183512,45.85425792
Calanus Sinicus,12.56840472,5.422257199,13.77515123,34.06245406
Calanus Sinicus,13.53516573,7.704727018,24.62836011,51.78390938
Calanus Sinicus,14.14832603,8.132623415,32.27026467,56.92110145
Calanus Sinicus,15.01069709,7.704727018,28.57507394,68.77493965
Calanus Sinicus,15.38648408,6.551444053,25.30301065,69.71055969
Calanus Sinicus,15.43749338,5.723392374,20.94186115,64.28186374
Calanus Sinicus,16.03454267,7.809542769,27.07160199,46.47806308
Calanus Sinicus,17.07650555,10.94799015,30.98828008,65.1563596
Calanus Sinicus,18.05730289,8.132623415,29.35783776,76.62615449
Calanus Sinicus,18.6506004,10.37196378,45.85425792,67.85187703
Calanus Sinicus,19.00580406,11.55600722,40.05863562,103.1527395
Calanus Sinicus,19.51604582,12.87521878,55.40342229,95.11974049
Calanus Sinicus,19.73266798,11.55600722,44.03262885,93.84309122
Calanus Sinicus,19.82032783,12.03407903,39.52098878,107.4201665
Calanus Sinicus,19.97500976,9.56424917,39.52098878,126.3298675
Calanus Sinicus,19.97500976,15.98262992,47.11035455,118.0767206
Calanus Sinicus,20.39826103,14.93848259,53.92620879,108.8815195
Calanus Sinicus,20.83236117,15.34769601,55.40342229,124.6343316
Calanus Sinicus,20.9927913,17.56817726,61.72817043,150.5894724
Calanus Sinicus,21.10968647,20.38349131,68.77493965,172.3765276
Calanus Sinicus,21.77853226,20.94186115,79.79617714,186.9339735
Calanus Sinicus,21.55732149,13.40786635,77.66858311,158.9527398
Calanus Sinicus,21.93583603,13.22791272,83.09734356,186.9339735
